label,sample,similarity
sumeet,1,0.550696
sumeet,2,0.590926
sumeet,3,0.463179
sumeet,4,0.750319
sumeet,5,0.721405
sumeet,6,0.756061
sumeet,7,0.761945
sumeet,8,0.721547
sumeet,9,0.698716
sumeet,10,0.670164
sumeet,11,0.670103
sumeet,12,0.716878
sumeet,13,0.762075
sumeet,14,0.745562
sumeet,15,0.750504
sumeet,16,0.754871
sumeet,17,0.748593
sumeet,18,0.749975
sumeet,19,0.755753
sumeet,20,0.751139
unknown,1,0.408484
unknown,2,0.682495
unknown,3,0.672418
unknown,4,0.718485
unknown,5,0.741786
unknown,6,0.728981
unknown,7,0.736238
unknown,8,0.736256
unknown,9,0.687153
unknown,10,0.663267
unknown,11,0.660072
unknown,12,0.621851
unknown,13,0.125940
unknown,14,0.054406
unknown,15,0.068335
unknown,16,0.078431
unknown,17,0.100422
unknown,18,0.103153
unknown,19,0.116314
unknown,20,0.121054
